stationId,year_month,AQI_PM2_5,AQI_PM10,AQI_NO2,AQI_CO,AQI_O3,AQI_SO2
aotizhongxin_aq,2017-01,6,6,3,3,1,2
aotizhongxin_aq,2017-02,6,4,6,6,1,2
aotizhongxin_aq,2017-03,6,6,6,1,1,1
aotizhongxin_aq,2017-04,4,3,3,1,1,1
aotizhongxin_aq,2017-05,6,6,6,1,3,1
aotizhongxin_aq,2017-06,6,6,2,1,6,1
aotizhongxin_aq,2017-07,3,6,6,1,6,1
aotizhongxin_aq,2017-08,3,2,6,1,1,1
aotizhongxin_aq,2017-09,5,3,3,1,1,1
aotizhongxin_aq,2017-10,5,6,6,1,1,1
aotizhongxin_aq,2017-11,6,2,3,1,1,1
aotizhongxin_aq,2017-12,6,3,3,2,1,1
aotizhongxin_aq,2018-01,4,6,3,2,1,1
badaling_aq,2017-01,5,3,6,2,1,1
badaling_aq,2017-02,5,3,6,2,1,6
badaling_aq,2017-03,5,6,3,3,1,1
badaling_aq,2017-04,4,6,2,1,1,1
badaling_aq,2017-05,4,4,2,1,3,1
badaling_aq,2017-06,6,2,2,1,6,1
badaling_aq,2017-07,3,6,3,1,3,1
badaling_aq,2017-08,3,2,6,1,1,1
badaling_aq,2017-09,5,6,6,1,1,1
badaling_aq,2017-10,6,6,2,1,1,1
badaling_aq,2017-11,5,6,6,1,1,1
badaling_aq,2017-12,4,6,3,1,1,1
badaling_aq,2018-01,4,6,3,1,1,1
beibuxinqu_aq,2017-01,6,6,3,3,1,1
beibuxinqu_aq,2017-02,6,6,3,2,1,1
beibuxinqu_aq,2017-03,6,6,3,3,1,1
beibuxinqu_aq,2017-04,5,3,6,1,1,1
beibuxinqu_aq,2017-05,4,4,6,1,3,1
beibuxinqu_aq,2017-06,6,3,6,1,2,1
beibuxinqu_aq,2017-07,3,3,6,1,2,1
beibuxinqu_aq,2017-08,3,2,6,1,1,1
beibuxinqu_aq,2017-09,5,3,2,6,1,1
beibuxinqu_aq,2017-10,5,6,2,1,1,1
beibuxinqu_aq,2017-11,5,6,6,1,1,1
beibuxinqu_aq,2017-12,5,6,6,2,1,1
beibuxinqu_aq,2018-01,3,3,2,2,1,1
daxing_aq,2017-01,6,6,3,6,1,2
daxing_aq,2017-02,6,6,6,2,1,2
daxing_aq,2017-03,6,6,6,1,1,1
daxing_aq,2017-04,4,6,3,1,1,1
daxing_aq,2017-05,6,3,6,1,3,1
daxing_aq,2017-06,6,6,2,1,2,1
daxing_aq,2017-07,4,2,2,1,3,1
daxing_aq,2017-08,3,2,2,1,1,1
daxing_aq,2017-09,5,6,3,1,2,1
daxing_aq,2017-10,4,6,6,1,1,1
daxing_aq,2017-11,4,6,6,1,1,1
daxing_aq,2017-12,5,6,6,6,1,1
daxing_aq,2018-01,5,6,3,6,1,1
dingling_aq,2017-01,6,6,6,3,1,1
dingling_aq,2017-02,5,3,2,2,1,1
dingling_aq,2017-03,6,6,2,1,1,1
dingling_aq,2017-04,6,6,2,1,1,1
dingling_aq,2017-05,6,6,2,1,3,1
dingling_aq,2017-06,3,6,1,1,2,1
dingling_aq,2017-07,4,2,1,1,2,1
dingling_aq,2017-08,3,2,1,1,1,1
dingling_aq,2017-09,4,3,1,1,2,1
dingling_aq,2017-10,4,6,6,1,1,1
dingling_aq,2017-11,5,2,2,1,1,1
dingling_aq,2017-12,5,6,3,2,1,1
dingling_aq,2018-01,6,3,3,2,1,1
donggaocun_aq,2017-01,6,3,3,3,1,1
donggaocun_aq,2017-02,6,2,2,6,1,1
donggaocun_aq,2017-03,5,6,2,1,1,1
donggaocun_aq,2017-04,4,3,1,1,1,1
donggaocun_aq,2017-05,6,3,1,2,3,1
donggaocun_aq,2017-06,6,6,1,1,2,1
donggaocun_aq,2017-07,4,4,6,1,2,1
donggaocun_aq,2017-08,6,2,1,1,1,1
donggaocun_aq,2017-09,6,6,1,2,1,1
donggaocun_aq,2017-10,6,2,2,1,1,1
donggaocun_aq,2017-11,4,6,2,1,5,2
donggaocun_aq,2017-12,5,6,2,2,1,1
donggaocun_aq,2018-01,5,2,3,1,1,1
dongsi_aq,2017-01,6,6,3,3,1,2
dongsi_aq,2017-02,6,6,6,2,1,2
dongsi_aq,2017-03,5,6,3,1,1,1
dongsi_aq,2017-04,4,3,3,1,1,1
dongsi_aq,2017-05,4,4,2,1,3,1
dongsi_aq,2017-06,6,6,2,1,2,1
dongsi_aq,2017-07,3,6,2,1,3,1
dongsi_aq,2017-08,6,2,6,1,1,1
dongsi_aq,2017-09,5,6,6,1,1,1
dongsi_aq,2017-10,5,3,3,6,1,1
dongsi_aq,2017-11,5,6,6,1,1,1
dongsi_aq,2017-12,5,6,6,2,1,1
dongsi_aq,2018-01,4,6,3,2,1,1
dongsihuan_aq,2017-01,6,6,6,3,1,1
dongsihuan_aq,2017-02,6,6,6,2,1,2
dongsihuan_aq,2017-03,5,3,6,1,1,1
dongsihuan_aq,2017-04,4,6,6,1,1,1
dongsihuan_aq,2017-05,6,3,3,1,1,1
dongsihuan_aq,2017-06,1,1,2,1,1,1
dongsihuan_aq,2017-07,0,0,0,0,0,0
dongsihuan_aq,2017-08,4,2,2,1,1,1
dongsihuan_aq,2017-09,5,6,6,1,1,1
dongsihuan_aq,2017-10,6,6,6,6,1,1
dongsihuan_aq,2017-11,5,6,6,2,1,1
dongsihuan_aq,2017-12,5,4,6,2,1,1
dongsihuan_aq,2018-01,6,6,6,2,1,1
fangshan_aq,2017-01,6,6,6,3,1,6
fangshan_aq,2017-02,6,6,3,2,1,6
fangshan_aq,2017-03,5,3,6,1,1,1
fangshan_aq,2017-04,6,3,6,1,1,1
fangshan_aq,2017-05,3,4,2,1,3,1
fangshan_aq,2017-06,6,3,2,1,2,1
fangshan_aq,2017-07,3,4,2,1,3,1
fangshan_aq,2017-08,6,6,2,1,1,1
fangshan_aq,2017-09,5,6,6,1,2,1
fangshan_aq,2017-10,4,3,6,1,1,1
fangshan_aq,2017-11,6,3,3,1,1,1
fangshan_aq,2017-12,5,3,3,2,1,1
fangshan_aq,2018-01,5,6,3,2,1,1
fengtaihuayuan_aq,2017-01,6,6,3,3,1,2
fengtaihuayuan_aq,2017-02,6,5,6,2,1,6
fengtaihuayuan_aq,2017-03,5,3,6,1,1,1
fengtaihuayuan_aq,2017-04,4,6,6,1,1,1
fengtaihuayuan_aq,2017-05,3,3,6,1,3,1
fengtaihuayuan_aq,2017-06,6,6,2,1,2,1
fengtaihuayuan_aq,2017-07,5,6,2,1,3,1
