stationId,longitude,latitude
shunyi_meo,116.615278,40.126667
hadian_meo,116.290556,39.986944
yanqing_meo,115.968889,40.449444
miyun_meo,116.864167,40.377500
huairou_meo,116.626944,40.357778
shangdianzi_meo,117.111667,40.658889
pinggu_meo,117.117778,40.169444
tongzhou_meo,116.756667,39.847500
chaoyang_meo,116.500833,39.952500
pingchang_meo,116.211667,40.223333
zhaitang_meo,115.692222,39.973889
mentougou_meo,116.156389,39.887778
beijing_meo,116.469444,39.806111
shijingshan_meo,116.205278,39.942500
fengtai_meo,116.245278,39.870278
daxing_meo,116.354444,39.718611
fangshan_meo,116.194167,39.773056
xiayunling_meo,115.740556,39.728611
